C_pro1	C_pro2	C_pro3	D_pro1	D_pro2	D_pro3	C_diffy1	C_diffy2	C_diffy3	D_diffy1	D_diffy2	D_diffy3	C_diffm1	C_diffm2	C_diffm3	D_diffm1	D_diffm2	D_diffm3
ENSG00000198804	13.9204661614045	13.7826630527534	14.1199838045629	14.0542347429503	13.7538761462617	13.8361422559691	13.2432277620905	13.2913521589483	13.3365171756166	12.9769729614489	13.0814148470612	13.1818154401241	13.6389012104256	13.4989200717028	13.5677834839077	13.56194718382	13.206210019886	13.2773931746884
ENSG00000156508	13.9733528370477	13.9344964100406	14.0967522082237	14.079842738159	13.9056579038918	13.9428639569131	12.8270132932493	12.9370057587231	12.9562676166214	13.0143069013398	13.0906229429816	13.0156366664696	12.3733640054884	12.2432081023082	12.2362145957435	12.235562449426	12.1392514310992	12.1974229135849
ENSG00000184009	13.5330254347739	13.5701739380757	13.5778157743764	13.4595477304554	13.4521687061054	13.4581790987891	12.4312543401087	12.5243698116518	12.4853012696546	12.4800138086224	12.5363186683031	12.501108450416	11.520790775871	11.5906142994747	11.5355513166256	11.5695878056344	11.6376754921035	11.5788854093488
ENSG00000198938	12.9298109929569	12.7273637029675	13.3211354364497	13.2984176084821	12.7080942888311	12.8853976864632	11.9246569169856	12.0390711587511	12.1090681837196	12.0032779742673	11.9876303192228	12.2030868680665	12.4610733224302	12.2393593579907	12.3909642193422	12.5384118771658	12.1755840763092	12.1923241173456
ENSG00000210082	12.1854228564601	12.1501994474938	12.2720842066751	12.4984538927033	12.3717970711196	12.4618298681251	11.8747017999546	11.9821261806068	11.9991641324441	11.8850915057031	12.0142890109039	11.9671566841737	12.3944054846016	12.2465612840542	12.2462231368723	12.3226239814052	12.2188162625848	12.2171106607393
ENSG00000075624	12.8981604783206	12.9193067314628	13.0160751889171	12.9459746395309	12.8277087865545	12.8348570231567	11.6718832537626	11.7266598470041	11.6816332343834	11.6715280939434	11.6441070934886	11.7248803616583	11.2765857396875	11.3625194021725	11.4052139285421	11.5043275748941	11.5791977672346	11.4209775620673
ENSG00000167552	11.8291079010286	11.8299356552759	11.9493009247549	11.9680029840614	11.8920796278866	11.9773287104405	12.3367023525249	12.4929259760805	12.5012739793192	12.4290980827913	12.5060423129219	12.5170468490349	11.5978820811846	11.7364336997978	11.7707366361861	11.9448292785352	12.0875903909934	11.9909316771974
ENSG00000198712	12.4595121244587	12.3273840609377	12.9075797779473	12.8903245169552	12.283709274847	12.4898154119629	11.5662941048269	11.5850431829748	11.6908401450186	11.4277445815595	11.5218465450096	11.708633527992	11.9978574067958	11.7516140203896	12.0151442141996	12.0647289606914	11.6785530114416	11.6440668442552
ENSG00000198886	12.244748512826	12.1553529170935	12.8319524493644	12.6754202115557	12.1029286834296	12.3147518222043	11.4973803100521	11.4654364757265	11.5281716837933	11.4630148953106	11.320131419717	11.828511252819	12.0230223966814	11.7884386673385	12.0726144532495	12.2511520928235	11.8411872824357	11.7128345867974
ENSG00000198727	11.7049653777922	11.5800281162544	12.1245811670016	12.0554308184944	11.5701303438501	11.7481744033678	11.1702707998881	11.1991285812194	11.25208571316	10.9123941210421	11.026722283858	11.2093129043544	11.6446568386623	11.3726514321619	11.6411202693207	11.7880959657495	11.4963058564171	11.3316253895462
